Date,Open,High,Low,Close,Adj Close,Volume
2022-04-20,2032.390015,2052.080078,2032.390015,2038.189941,2038.189941,3678040000
2022-04-21,2046.709961,2060.080078,1986.910034,1991.459961,1991.459961,3833570000
2022-04-22,1986.660034,1986.660034,1939.339966,1940.660034,1940.660034,3930660000
2022-04-25,1933.239990,1954.400024,1908.819946,1954.199951,1954.199951,4061070000
2022-04-26,1940.079956,1940.079956,1890.469971,1890.469971,1890.469971,3760420000
2022-04-27,1891.109985,1909.109985,1879.650024,1884.040039,1884.040039,3876340000
2022-04-28,1891.920044,1927.479980,1864.420044,1917.939941,1917.939941,3969440000
2022-04-29,1914.359985,1928.319946,1860.579956,1864.099976,1864.099976,3943480000
2022-05-02,1863.660034,1888.839966,1839.250000,1882.910034,1882.910034,4474060000
2022-05-03,1882.579956,1907.300049,1875.979980,1898.859985,1898.859985,3877530000
2022-05-04,1904.089966,1952.750000,1875.359985,1949.920044,1949.920044,4236210000
2022-05-05,1935.640015,1935.640015,1849.449951,1871.150024,1871.150024,4197620000
2022-05-06,1867.729980,1867.729980,1821.099976,1839.560059,1839.560059,4254300000
2022-05-09,1833.479980,1833.479980,1754.209961,1762.079956,1762.079956,4746120000
2022-05-10,1771.459961,1794.640015,1727.380005,1761.790039,1761.790039,4630150000
2022-05-11,1763.020020,1791.849976,1715.770020,1718.140015,1718.140015,4683220000
2022-05-12,1714.060059,1752.550049,1701.150024,1739.380005,1739.380005,4964130000
2022-05-13,1748.239990,1804.380005,1748.239990,1792.670044,1792.670044,4142950000
2022-05-16,1790.609985,1802.630005,1778.670044,1783.430054,1783.430054,3824320000
2022-05-17,1796.359985,1840.300049,1796.359985,1840.300049,1840.300049,3846580000
2022-05-18,1834.150024,1834.150024,1765.250000,1774.849976,1774.849976,4428960000
2022-05-19,1769.839966,1797.229980,1759.660034,1776.219971,1776.219971,4212140000
2022-05-20,1784.079956,1797.439941,1730.880005,1773.270020,1773.270020,4278520000
2022-05-23,1786.430054,1799.270020,1769.119995,1792.760010,1792.760010,3392770000
2022-05-24,1780.199951,1780.199951,1736.109985,1764.829956,1764.829956,3901640000
2022-05-25,1760.420044,1807.430054,1759.199951,1799.160034,1799.160034,4322190000
2022-05-26,1808.640015,1847.829956,1808.640015,1838.239990,1838.239990,3961940000
2022-05-27,1845.239990,1887.900024,1845.239990,1887.900024,1887.900024,3560560000
2022-05-31,1882.000000,1883.189941,1856.560059,1864.040039,1864.040039,5192220000
2022-06-01,1871.459961,1877.489990,1830.199951,1854.819946,1854.819946,4145710000
2022-06-02,1855.349976,1897.670044,1854.510010,1897.670044,1897.670044,3604930000
2022-06-03,1886.609985,1889.449951,1872.229980,1883.050049,1883.050049,3107080000
2022-06-06,1893.449951,1903.510010,1881.729980,1889.890015,1889.890015,3852050000
2022-06-07,1879.770020,1919.729980,1870.939941,1919.560059,1919.560059,3476470000
2022-06-08,1913.969971,1916.079956,1883.260010,1891.010010,1891.010010,3090180000
2022-06-09,1884.959961,1884.959961,1850.670044,1850.859985,1850.859985,3192330000
2022-06-10,1833.150024,1833.150024,1792.599976,1800.280029,1800.280029,3936120000
2022-06-13,1770.500000,1770.500000,1708.260010,1714.589966,1714.589966,4572820000
2022-06-14,1717.329956,1723.189941,1692.319946,1707.829956,1707.829956,4126400000
2022-06-15,1718.150024,1751.500000,1704.420044,1731.140015,1731.140015,4474610000
2022-06-16,1707.849976,1707.849976,1641.469971,1649.839966,1649.839966,4511200000
2022-06-17,1657.010010,1684.550049,1652.020020,1665.689941,1665.689941,6954110000
2022-06-21,1681.099976,1711.739990,1681.099976,1694.030029,1694.030029,4124600000
2022-06-22,1678.510010,1703.380005,1665.540039,1690.280029,1690.280029,4342270000
2022-06-23,1693.270020,1714.040039,1680.550049,1711.670044,1711.670044,4078100000
2022-06-24,1720.040039,1765.739990,1720.040039,1765.739990,1765.739990,6742870000
2022-06-27,1772.890015,1781.459961,1758.310059,1771.739990,1771.739990,3385120000
2022-06-28,1778.619995,1792.579956,1738.810059,1738.839966,1738.839966,3590980000
2022-06-29,1737.829956,1737.829956,1703.800049,1719.369995,1719.369995,3458850000
2022-06-30,1706.479980,1722.089966,1680.400024,1707.989990,1707.989990,4032260000
2022-07-01,1705.069946,1728.910034,1690.910034,1727.760010,1727.760010,3268240000
2022-07-05,1714.859985,1741.339966,1681.579956,1741.329956,1741.329956,4427900000
2022-07-06,1738.689941,1747.930054,1712.160034,1727.550049,1727.550049,3613120000
2022-07-07,1736.010010,1772.300049,1736.010010,1769.599976,1769.599976,3337710000
2022-07-08,1767.579956,1780.130005,1752.939941,1769.359985,1769.359985,2844620000
2022-07-11,1765.599976,1765.599976,1729.650024,1732.010010,1732.010010,3023830000
2022-07-12,1728.520020,1743.170044,1719.239990,1728.180054,1728.180054,0
2022-07-13,1715.469971,1732.599976,1700.939941,1726.040039,1726.040039,3166580000
2022-07-14,1712.290039,1712.290039,1684.849976,1707.510010,1707.510010,3447500000
2022-07-15,1724.099976,1744.369995,1708.900024,1744.369995,1744.369995,3537130000
2022-07-18,1758.900024,1772.800049,1734.219971,1738.420044,1738.420044,3414470000
2022-07-19,1754.729980,1800.010010,1754.729980,1799.319946,1799.319946,3160350000
2022-07-20,1797.949951,1829.910034,1797.949951,1827.949951,1827.949951,3452150000
2022-07-21,1819.770020,1836.689941,1804.979980,1836.689941,1836.689941,3586030000
